month,year,total_interception_all,total_hours,avg_interception_all,total_interception_storm,storm_hours,avg_interception_storm
Jan,2024,0.1143,727,1.5722145804676754e-4,0.1143,70,0.001632857142857143
Feb,2024,0,692,0,0,139,0
Mar,2024,0.3429,742,4.6212938005390835e-4,0.3429,150,0.002286
Apr,2024,0.5715,546,0.0010467032967032967,0.5715,50,0.011430000000000001
May,2024,3.429,604,0.005677152317880794,3.429,78,0.04396153846153846
Jun,2024,5.4864,688,0.007974418604651163,5.4864,21,0.26125714285714285
Jul,2024,0,140,0,0,4,0
Aug,2024,2.7432,421,0.006515914489311164,2.7432,17,0.16136470588235294
Sep,2023,1.3716000000000002,651,0.0021069124423963134,1.3716000000000002,46,0.02981739130434783
Oct,2023,0,736,0,0,75,0
Nov,2023,0.4572,679,6.733431516936671e-4,0.4572,53,0.008626415094339623
Dec,2023,0,744,0,0,64,0
